City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
152,Baie-Comeau,CA,49.2168,-68.1489,30.2,86,90,17.27,snow
153,Beloha,MG,-25.1667,45.05,71.49,83,17,4.27,few clouds
154,Cottonwood Heights,US,40.6197,-111.8102,59.0,50,1,19.57,clear sky
155,Hokitika,NZ,-42.7167,170.9667,58.08,94,64,2.91,broken clouds
156,Jertih,MY,5.7336,102.4897,78.8,89,20,3.33,few clouds
157,Arraial Do Cabo,BR,-22.9661,-42.0278,89.6,66,0,8.05,clear sky
158,Santa Cruz De Tenerife,ES,28.4682,-16.2546,66.99,88,40,10.36,scattered clouds
159,Berdigestyakh,RU,62.0989,126.6992,-4.02,100,100,2.75,overcast clouds
160,Kavieng,PG,-2.5744,150.7967,82.67,75,95,13.71,overcast clouds
161,Duzce,TR,40.8389,31.1639,45.21,80,14,4.09,few clouds
162,Ishigaki,JP,24.3448,124.1572,76.41,83,4,1.01,clear sky
163,Vestmanna,FO,62.1564,-7.1664,41.0,93,75,19.57,light intensity drizzle
164,George,ZA,-33.963,22.4617,60.8,88,0,6.91,clear sky
165,Sola,VU,-13.8833,167.55,82.29,76,20,16.87,few clouds
166,Copiapo,CL,-27.3667,-70.3333,68.0,56,0,13.8,clear sky
167,Beisfjord,NO,68.3751,17.5988,39.2,48,0,4.61,clear sky
168,Umm Lajj,SA,25.0213,37.2685,73.18,55,13,18.84,few clouds
169,Luderitz,NA,-26.6481,15.1594,63.0,85,1,6.24,clear sky
170,Mujiayingzi,CN,42.1167,118.7833,36.34,24,0,19.08,clear sky
171,Wlodawa,PL,51.55,23.55,35.01,81,40,4.52,scattered clouds
172,Kaitangata,NZ,-46.2817,169.8464,52.02,97,73,2.73,broken clouds
173,San Quintin,MX,30.4833,-115.95,71.56,27,0,9.6,clear sky
174,Mora,CM,11.0461,14.1401,84.36,16,3,7.72,clear sky
175,Marfino,RU,55.7028,37.3822,41.0,56,0,4.47,clear sky
176,Douentza,ML,14.9951,-2.9517,85.05,7,0,6.87,clear sky
177,Los Llanos De Aridane,ES,28.6585,-17.9182,68.0,68,40,11.5,scattered clouds
178,Nome,US,64.5011,-165.4064,10.99,85,90,32.21,snow
179,Lavrentiya,RU,65.5833,-171.0,7.29,94,100,19.82,snow
180,Constitucion,CL,-35.3333,-72.4167,68.38,45,0,4.43,clear sky
181,Cananea,MX,30.95,-110.3,64.99,22,0,1.99,clear sky
182,Srednekolymsk,RU,67.45,153.6833,-15.75,99,100,4.34,overcast clouds
183,Puerto Leguizamo,CO,-0.1934,-74.7819,78.53,91,100,3.18,overcast clouds
