City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
195,Samarai,PG,82.13,overcast clouds,-10.6167,150.6667,Nuli Sapi
196,Aiquile,BO,65.07,overcast clouds,-18.2041,-65.1807,Hotel Santa Ana
198,Faya,SA,64.4,clear sky,18.3851,42.4509,مقبرة ال مجمل
199,Ponta Do Sol,PT,64.4,few clouds,32.6667,-17.1,Hotel do Campo
200,Olinda,BR,80.6,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
201,Geraldton,AU,68.0,clear sky,-28.7667,114.6,Broadwater Mariner Resort
203,Tautira,PF,84.2,light rain,-17.7333,-149.15,Pension Oaoa
204,Ribeira Grande,PT,62.6,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
205,Xuddur,SO,84.72,broken clouds,4.1213,43.8894,Banjanay Hotel
206,Alofi,NU,78.8,clear sky,-19.0595,-169.9187,Taloa Heights
207,Sao Filipe,CV,70.38,few clouds,14.8961,-24.4956,Tortuga B&B
212,Mar Del Plata,AR,68.0,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
216,Ancud,CL,66.2,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
220,Tignere,CM,74.28,overcast clouds,7.3667,12.65,SADECK
225,Abnub,EG,62.6,clear sky,27.2696,31.1511,Romany Adly Gad
226,Arona,ES,68.0,scattered clouds,28.0996,-16.680999999999997,Paradise Court
227,Mumford,GH,80.89,overcast clouds,5.2618,-0.759,Spanish Villa
228,Mulanje,MW,68.14,overcast clouds,-16.0316,35.5,Mulanje Motel
231,Olavarria,AR,71.01,broken clouds,-36.8927,-60.3225,Hotel Santa Rosa
232,Saldanha,ZA,69.8,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
233,Kendari,ID,74.12,overcast clouds,-3.945,122.4989,Hotel Wixel
235,Areosa,PT,68.0,clear sky,41.7178,-8.8571,Hotel Flôr de Sal
237,Porto Novo,BJ,82.4,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
238,Waipawa,NZ,63.0,light rain,-41.4122,175.5153,Tora Coastal Walk
243,Shimoda,JP,60.01,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
244,Tabou,CI,79.72,clear sky,4.423,-7.3528,hotêl doufoulougou
245,Namibe,AO,74.03,light rain,-15.1961,12.1522,Hotel Chik Chik Namibe
246,Guilin,CN,68.0,mist,25.2819,110.2864,Grand 0773 Hotel
250,Carnarvon,AU,73.4,clear sky,-24.8667,113.6333,Hospitality Carnarvon
252,Cayenne,GF,84.2,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
253,Ponta Delgada,PT,60.8,broken clouds,37.7333,-25.6667,Vila Nova Hotel
254,Isangel,VU,76.5,clear sky,-19.55,169.2667,Volcano Sea View Tree House
256,Iralaya,HN,82.4,broken clouds,15.0,-83.2333,Iglesia morava renovada
258,Azul,AR,71.01,overcast clouds,-36.777,-59.8585,Cabañas Dulcinea
259,Kavali,IN,77.31,overcast clouds,14.9167,79.9833,Lic B.M Quearter's
263,Brookhaven,US,62.01,overcast clouds,31.5791,-90.4407,Americas Best Value Inn Brookhaven
264,Murbad,IN,84.2,haze,19.25,73.4,OYO 62747 Hotel Sarika
268,Bilma,NE,75.27,clear sky,18.6853,12.9164,Expeditions Ténére voyages
270,Saint-Joseph,RE,77.0,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
272,Amboasary,MG,73.4,moderate rain,-25.0333,46.3833,DISCOVERY AMBOASARY
274,Aswan,EG,69.58,clear sky,24.0934,32.907,Nuba Nile
277,Buala,SB,80.19,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
278,Richards Bay,ZA,69.37,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
279,Shakawe,BW,68.95,clear sky,-18.3667,21.85,Ditlhapi Guest House
280,Arroyo,ES,60.8,clear sky,41.6096,-4.7969,Hotel El Jardín de la Abadía
285,Pemba,MZ,82.4,moderate rain,-12.974,40.5178,Guesthouse Samotina
288,Padang,ID,76.96,overcast clouds,-0.9492,100.3543,Mercure Padang
290,Ducheng,CN,76.84,light rain,23.2373,111.5317,Xinyongguang Hotel
291,Dingle,PH,76.33,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
292,Constantine,DZ,62.6,scattered clouds,36.365,6.6147,Grand Hotel Cirta
294,Teahupoo,PF,84.2,light rain,-17.8333,-149.2667,Vanira Lodge
296,Russell,US,80.6,light rain,32.3502,-85.1999,Macs
297,Biak,ID,76.24,light rain,-0.9131,122.8766,Penginapan Kim
299,Ajdabiya,LY,61.45,overcast clouds,30.7554,20.2263,Almadina Hotel
301,Belmonte,BR,84.2,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
303,Nkhata Bay,MW,74.53,overcast clouds,-11.6066,34.2907,Mayoka Village
304,Naron,ES,66.2,clear sky,43.5167,-8.1528,Marcial
305,Goure,NE,76.23,clear sky,13.9835,10.2704,
310,Fare,PF,82.11,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
311,Tevaitoa,PF,81.81,few clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
318,Misratah,LY,62.96,overcast clouds,32.3754,15.0925,فندق الماسة
320,Pacifica,US,66.99,clear sky,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
321,Ramnagar,IN,72.0,clear sky,29.4,79.1167,Leisure Vacation Myrica Hotel
326,Road Town,VG,84.2,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
327,Kinablangan,PH,77.99,overcast clouds,7.6947,126.5503,Danny Moreno Property
328,Zaragoza,ES,66.2,clear sky,41.6561,-0.8773,Hotel Goya
331,Kon Tum,VN,67.91,scattered clouds,14.35,108.0,Hoa đà spa- homestay
332,Lebu,CL,62.73,clear sky,-37.6167,-73.65,Hostal Las Lilas
336,Arrecife,ES,68.0,few clouds,28.963,-13.5477,Hotel Lancelot
338,Iquitos,PE,75.2,light rain,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
340,Cairns,AU,77.0,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
341,Omboue,GA,78.21,moderate rain,-1.5746,9.2618,Hotel Olako
344,Huilong,CN,62.01,clear sky,31.8111,121.655,Hilton Garden Inn Qidong
347,Alberdi,AR,71.01,overcast clouds,-32.8899,-60.6906,Green House.river
348,Seoni Malwa,IN,84.36,clear sky,22.45,77.4667,hotel naman residency
349,Port Moresby,PG,77.0,scattered clouds,-9.4431,147.1797,Lamana Hotel
350,Sampit,ID,74.1,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
353,Mbala,ZM,61.2,overcast clouds,-8.8402,31.3659,Lake Chila Lodge
355,Itarema,BR,81.97,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
356,Tarakan,ID,79.75,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
358,Coihaique,CL,68.0,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
359,Lazaro Cardenas,MX,83.71,clear sky,17.9583,-102.2,Hotel Quinta Antigua
363,Manono,CD,72.73,overcast clouds,-7.3,27.4167,Hotel hewa bora
364,Daru,PG,80.38,overcast clouds,-9.0763,143.2092,Daru Lodge
365,Ambulu,ID,76.12,heavy intensity rain,-8.345,113.6058,Hotel Ambulu Jember
367,Caxito,AO,76.48,overcast clouds,-8.5785,13.6643,
368,Avera,US,80.6,broken clouds,33.194,-82.5271,
369,Kluang,MY,78.8,few clouds,2.0251,103.3328,Hotel Anika
371,Pontianak,ID,77.0,moderate rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
376,San Policarpo,PH,79.9,overcast clouds,12.1791,125.5072,JM Lodge
377,Yulara,AU,75.2,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
378,Isla Mujeres,MX,84.2,scattered clouds,21.2311,-86.73100000000001,Hotel La Joya Isla Mujeres
